,Account Name,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score,Date
0,The New York Times,"RT @AshleyAtTimes: Emmanuel Mensah, a private in the Army National Guard, evacuated his six roommates and rescued four neighbors from a dea…",0.4215,0.128,0.872,0.0,Sat Dec 30 02:28:26 +0000 2017
1,The New York Times,"A Pennsylvania judge said the state’s Congressional districts were drawn to give Republicans an advantage, but they… https://t.co/8IQqN5RXi3",0.128,0.086,0.914,0.0,Sat Dec 30 02:15:11 +0000 2017
2,The New York Times,Your weekend playlist: The week's 10 most notable new songs https://t.co/0yZFzghgqR,0.0,0.0,1.0,0.0,Sat Dec 30 02:00:03 +0000 2017
3,The New York Times,No one expects that one-quarter of Iceland will ever be covered in forests again. But foresters are trying.… https://t.co/ybAVvSfusV,-0.296,0.0,0.891,0.109,Sat Dec 30 01:45:04 +0000 2017
4,The New York Times,"What happened at the Bronx fire, which killed 12 people https://t.co/KbPhxg4eO8 https://t.co/q9opS1xHUV",-0.7845,0.0,0.592,0.408,Sat Dec 30 01:30:16 +0000 2017
5,The New York Times,"RT @susanchira: ""Boys would be boys, we're pigs and we know it"": What women endure in all kinds of blue-collar jobs. https://t.co/oGU76YBPVu",0.0,0.0,1.0,0.0,Sat Dec 30 01:15:03 +0000 2017
6,The New York Times,You still have a little time to catch these movies and TV shows before they leave Netflix in January https://t.co/IlQDeU1kyv,-0.0516,0.0,0.938,0.062,Sat Dec 30 01:00:06 +0000 2017
7,The New York Times,"President Trump, in an impromptu interview with The New York Times, rattled off at least 10 false or misleading cla… https://t.co/J48iA87pSu",-0.4019,0.0,0.881,0.119,Sat Dec 30 00:45:09 +0000 2017
8,The New York Times,"RT @nytmike: How the interview with Trump went down at his golf club in West Palm Beach, Fla.
https://t.co/xlW50CWgAH",0.0,0.0,1.0,0.0,Sat Dec 30 00:43:57 +0000 2017
9,The New York Times,Some parts of Puerto Rico aren't expected to get power back until next spring https://t.co/5wOzddGcP6,0.0,0.0,1.0,0.0,Sat Dec 30 00:30:07 +0000 2017
10,The New York Times,"She was a news intern. He was a TV journalist. She says he raped her, and she decided to do something Japanese wome… https://t.co/VvseviklEA",-0.6808,0.0,0.82,0.18,Sat Dec 30 00:15:06 +0000 2017
11,The New York Times,RT @UpshotNYT: Global GIFs and what they say about us. https://t.co/Q2Tdrw5RVd,0.0,0.0,1.0,0.0,Sat Dec 30 00:00:13 +0000 2017
12,The New York Times,Evening Briefing: Here's what you need to know at the end of the day https://t.co/Yw8UFDgPsi,0.0,0.0,1.0,0.0,Fri Dec 29 23:45:07 +0000 2017
13,The New York Times,"Thanks largely to the arrival of the Switch, Nintendo has had a startling turnaround year https://t.co/tLzxWDBE9w",0.4939,0.244,0.756,0.0,Fri Dec 29 23:30:09 +0000 2017
14,The New York Times,The NYT obituary for Sue Grafton https://t.co/Rgnb9rstqa,0.0,0.0,1.0,0.0,Fri Dec 29 23:15:12 +0000 2017
15,The New York Times,"RT @jonah_kessel: The question is: What role, if any, should government play in our diets? Our new doc asks this question in a place where…",0.34,0.094,0.906,0.0,Fri Dec 29 23:01:07 +0000 2017
16,The New York Times,"The deadly Bronx fire was caused by a child playing with a stove, NYC’s mayor said. “It seems like a horrible, trag… https://t.co/v5q68VW2tp",-0.3818,0.164,0.611,0.225,Fri Dec 29 22:46:03 +0000 2017
17,The New York Times,Stay warm with @SamSifton's recommendations for weekend cooking https://t.co/rKj1bwZrY7,0.2263,0.192,0.808,0.0,Fri Dec 29 22:16:01 +0000 2017
18,The New York Times,"RT @nytimesbooks: Resolve to have a literary 2018 and download this curated calendar of new books, festivals, film adaptations and more htt…",0.6249,0.212,0.788,0.0,Fri Dec 29 22:01:05 +0000 2017
19,The New York Times,"The annual home maintenance checklist https://t.co/4zI5xX5RCa

This was one of our most popular guides on social media this year.",0.4754,0.147,0.853,0.0,Fri Dec 29 21:46:05 +0000 2017
20,The New York Times,"RT @AshleyAtTimes: Emmanuel Mensah, a private in the Army National Guard, evacuated his six roommates and rescued four neighbors from a dea…",0.4215,0.128,0.872,0.0,Sat Dec 30 02:28:26 +0000 2017
